,Store Number,City,Sales,Ave. Sale Price,County Number,Zip Code,Ave. Margin per Liter,Volume Sold(L),Ave. Volume sold(L),Margin,Q1 Sales
979,4768,URBANDALE,3180.36,79.509,77,50322,1.94594484127,223.2,5.58,4.792,784.5
980,4769,ELMA,7437.02,185.9255,45,50628,0.813773809524,542.95,13.57375,6.0115,2360.04
981,4770,HUDSON,4225.74,162.528461538,7,50643,0.514725274725,321.0,12.3461538462,5.05769230769,624.6
982,4771,CEDAR RAPIDS,5812.19,76.4761842105,57,52402,1.93569441667,359.23,4.72671052632,3.43052631579,1228.67
983,4773,WEST DES MOINES,4555.44,24.757826087,77,50265,3.54992818323,311.45,1.69266304348,4.06804347826,957.94
984,4774,ESTHERVILLE,3801.87,102.753243243,32,51334,0.795653689404,344.5,9.31081081081,2.85135135135,1107.8
985,4775,DAKOTA CITY,1972.92,116.054117647,46,50529,0.478613562092,200.1,11.7705882353,2.58117647059,174.24
986,4776,CARROLL,376.56,188.28,14,51401,0.197301587302,39.0,19.5,3.925,376.56
987,4777,PAULLINA,3893.47,129.782333333,71,51046,0.93085218254,394.7,13.1566666667,3.93,1225.11
989,4779,MOUNT AYR,1670.34,238.62,80,50854,0.445544217687,100.5,14.3571428571,4.76857142857,323.28
990,4780,BRITT,2624.28,131.214,41,50423,0.400293650794,259.5,12.975,3.9005,353.28
991,4781,EARLY,2447.58,94.1376923077,81,50535,0.554731379731,204.9,7.88076923077,3.53692307692,346.08
992,4782,LAMONI,2759.88,81.1729411765,27,50140,0.724523225957,231.45,6.80735294118,3.45882352941,83.1
993,4783,EMMETSBURG,4182.0,149.357142857,74,50536,0.563321995465,244.5,8.73214285714,4.5625,693.78
994,4785,AVOCA,4011.96,143.284285714,78,51521,0.499116354875,271.8,9.70714285714,3.92464285714,935.58
995,4786,WINTERSET,2191.4,95.2782608696,61,50273,2.76214339631,142.12,6.17913043478,4.3947826087,591.68
996,4787,SWISHER,4842.67,96.8534,52,52338,1.43370119048,353.25,7.065,4.5894,1698.42
997,4788,CEDAR RAPIDS,3784.86,135.173571429,57,52405,0.592100340136,303.75,10.8482142857,4.92357142857,716.04
998,4789,BUSSEY,1826.94,121.796,63,50044,0.195991798942,207.0,13.8,2.06066666667,549.36
999,4790,MEDIAPOLIS,1528.33,49.3009677419,29,52405,3.33652899722,98.95,3.19193548387,4.93161290323,186.18
1000,4791,SIOUX CITY,2668.26,166.76625,97,51106,0.542886904762,147.0,9.1875,4.986875,954.9
1001,4792,DE SOTO,1806.12,129.008571429,25,50069,0.357568735828,152.1,10.8642857143,3.07142857143,94.2
1002,4793,FORT MADISON,2027.23,48.2673809524,56,52627,2.9672095561,111.33,2.65071428571,4.30214285714,105.43
1003,4794,BURLINGTON,42047.61,67.4921508828,29,52601,3.67536849979,2399.52,3.85155698234,4.83398073836,12055.44
1004,4795,DES MOINES,11174.28,189.394576271,77,50317,0.469592144202,850.5,14.4152542373,4.66389830508,2272.86
1005,4796,DES MOINES,2723.22,160.189411765,77,50321,0.484444444444,178.5,10.5,4.72235294118,184.8
1006,4797,DES MOINES,6645.9,170.407692308,77,50316,0.557830009497,474.0,12.1538461538,5.09769230769,2206.32
1007,4798,DES MOINES,4334.52,197.023636364,77,50320,0.54575036075,259.5,11.7954545455,5.31136363636,708.72
1008,4799,DES MOINES,2620.35,104.814,77,50317,0.655961904762,207.75,8.31,4.6408,1232.82
1009,4800,DES MOINES,3408.78,136.3512,77,50320,0.571622010582,299.25,11.97,4.5752,831.0
