,Company Name,Job Title,average_salary,city,state
8940,All-In Analytics,Senior Machine Learning Data Scientist,150000.0,Austin,TX
8993,XOR Data Exchange,Senior Software Engineer/Team Lead,90000.0,Austin,TX
9097,Volt Workforce Solutions,Machine Learning Engineer,135000.0,Austin,TX
9098,Lighthouse Recruiting,LCMS Certifying Scientist,70000.0,Austin,TX
9665,Baylor College of Medicine,Sr. Bioinformatics Programmer,80500.0,Houston,TX
9668,Baylor College of Medicine,Lead Bioinformatics Programmer,92500.0,Houston,TX
9669,SearchBankingJobs,Quantitative Risk Analyst,177500.0,Houston,TX
9712,Baylor College of Medicine,Research Financial Analyst II,65000.0,Houston,TX
9766,Rekruiters,C++ Software Engineer,250000.0,Houston,TX
9767,Baylor College of Medicine,Senior Research Policy Analyst,72000.0,Houston,TX
9770,Selby Jennings,Catastrophe Risk Analyst - Quantitative,97500.0,Houston,TX
9775,Selby Jennings,Senior Predictive Modeling Actuary,100000.0,Houston,TX
10410,Denver Public Schools,"SENIOR RESEARCH ANALYST, TEACHING AND LEARNING - 17167",69673.0,Denver,CO
10412,10Roof Technology,"Big Data Developer (Spark, Hadoop, Hive)",105000.0,Denver,CO
10434,Mountain Ltd.,Legal Research Analyst,42500.0,Denver,CO
10442,Lauren Enterprises,Food Scientist: Chemistry & Formulations,35000.0,Denver,CO
10444,xentity corporation,Government Enterprise Architect,111000.0,Denver,CO
10459,"Gunther Douglas, Inc.",Data Scientist,112500.0,Superior,CO
10464,Community College of Aurora,Research Analyst,40000.0,Aurora,CO
10507,Denver Public Schools,RESEARCH ANALYST – 16996,63339.0,Denver,CO
10522,University of Colorado,Bioinformationist,56500.0,Aurora,CO
10539,University of Colorado,Managing Director for STROBE,107500.0,Boulder,CO
10551,Denver Health,Business Manager - RADARS,88091.0,Denver,CO
10624,Potatoes USA,Global Marketing Manager - Food Manufacturing,85000.0,Denver,CO
10681,University of Colorado,Health & Human Sciences Librarian,50500.0,Boulder,CO
10763,Denver Health,RN-Statistical Research Specilist Nursing,66654.0,Denver,CO
11131,State of Maryland,RESEARCH STATISTICIAN II,53592.5,Baltimore,MD
11135,Johns Hopkins University,Research Service Analyst,49165.0,Baltimore,MD
11148,State of Maryland,EPIDEMIOLOGIST I,50508.0,Baltimore,MD
11153,"City of Baltimore, MD",Research Analyst II - Dept. of Public Wo...,79050.0,Baltimore,MD
11163,Johns Hopkins University,Sr. Research Service Analyst,56205.0,Baltimore,MD
11166,Johns Hopkins University,Research Data Analyst,50112.0,Baltimore,MD
11175,Johns Hopkins University,Biostatistician,59339.0,Baltimore,MD
11193,Johns Hopkins University,Drug Discovery Scientist,51114.0,Baltimore,MD
11206,Johns Hopkins University,Sr. Biostatistician,68904.0,Baltimore,MD
11221,Johns Hopkins University,Sr. Research Data Analyst,59339.0,Baltimore,MD
11251,Johns Hopkins University,Sr. Institutional Research Analyst,59339.0,Baltimore,MD
11255,Johns Hopkins University,Ophthalmic Surgical Education Training Center Coordinator,49165.0,Baltimore,MD
11264,"Apex Sytems, Inc",Research Audit Analyst,45000.0,Columbia,MD
11280,Johns Hopkins University,Research Specialist,43986.0,Baltimore,MD
